Run started at  Tue Jul 10 16:02:42 BST 2018
Start include.
Starting
Ready
	From worker 2:	Parameters set for ENSMUSG00000006398
	From worker 2:	starting ABC for ENSMUSG00000006398
	From worker 3:	Parameters set for ENSMUSG00000027715
	From worker 3:	starting ABC for ENSMUSG00000027715
	From worker 2:	Number of trials = 1
	From worker 2:	Number accepted = 1
	From worker 3:	Number of trials = 1
	From worker 3:	Number accepted = 1
	From worker 2:	6
	From worker 2:	100
	From worker 2:	100
	From worker 2:	5.0
	From worker 2:	-2.842315924991626 -0.17223185457532786 1.5368670667458595 -1.1243228948440454 -0.6558294041716177 4.147419784546184
	From worker 2:	-2.357838196149449 1.9720895177145845 -0.6088002751568382 1.903066774150064 -0.06024069647160202 4.08424743866772
	From worker 2:	-1.7390324497591427 -0.39379713840995967 0.9774185495378713 1.1003660588041075 -2.4294096804442806 1.807654439928612
	From worker 2:	-0.691990339298437 0.5450942008702508 0.8605887014050055 2.8566263855672096 -1.1740359080245133 0.4888427090975511
	From worker 2:	1.0502177747532198 -2.1979834695002634 1.5044735345086098 0.7730600553780493 -1.9668350926602147 2.5807686850351965
	From worker 2:	0.17769275665075535 2.6805516644577985 2.0322661987592188 -2.3477696482893537 -1.6740266951273037 0.06659469641359106
	From worker 2:	-2.36474144259444 0.2679193335957728 0.4852690608174606 1.6847291727721183 -1.5240390968190654 1.2521615277255516
	From worker 2:	-2.6042633840553187 -2.109907020508055 2.072523115507664 -2.5610712963532642 -1.0546513518371063 2.326941477655078
	From worker 2:	1.8697042295720498 1.726513106112714 1.147570097133956 1.159604479260743 -1.4349165697409352 4.636063079187376
	From worker 2:	0.8461199398890793 1.9602661411881837 -1.0248228791732017 0.0643987917509441 -0.22470251180687528 1.64075889307154
	From worker 2:	-2.1323645884999527 -1.9880856176257593 -0.9510608523063877 -2.5100599915735176 -1.882854561409527 2.24815698372539
	From worker 2:	2.960607904832214 0.490402579126918 2.6507005538142128 -1.8773245216547445 -1.4519115657392758 0.9949984731393202
	From worker 2:	1.4983293696519633 -1.9865865387109163 -2.8460323658221314 2.632755634604079 -0.6758528315233416 4.061005322393387
	From worker 2:	-1.8611907757243302 0.42472897315521285 -0.4394718429144704 -0.8077397826640773 -0.6300173984298225 0.14737080006976155
	From worker 2:	-0.36662253641585707 -2.111046081509967 -0.11688620776923697 -1.4969001591025268 0.3986129596117065 1.8542815870629714
	From worker 2:	-2.4794704477260874 0.43191308127926087 1.9172821116214909 2.0625612727083684 -1.3163585136041904 2.4188806634071502
	From worker 2:	2.3263639024989597 2.928266237754727 -1.8223994941445296 2.251909871640885 -2.802552939768154 1.9469313869412463
	From worker 2:	2.768893088446001 -1.5085235412024258 -1.0688175644213636 2.1940452344200967 0.26647288082829546 1.8625494789549302
	From worker 2:	0.6009388682011041 2.1078246922420787 1.3765383271039067 0.9008570269911274 -0.2621839112870803 1.7421397055266852
	From worker 2:	0.9987262762157179 0.6563461298760034 -0.016791549022291186 0.7854205414831412 -2.038235662126683 2.894001839035499
	From worker 2:	0.7249354831769868 2.0791553851287343 -1.242946743472619 0.7634333185545765 -0.5491766650252874 1.1147899503438052
	From worker 2:	-0.035037301066563664 2.937250426834214 2.206823805090991 1.826846167815237 -2.8153261350280347 3.503373747765006
	From worker 2:	0.683587499506876 2.3120351394585974 0.6290664234046046 0.1902348438974184 -1.214763647625047 0.6486649748378182
	From worker 2:	-1.8060429373707452 1.813221020546985 1.501973962501955 1.2415083425443783 0.07010192059503684 3.902693708689898
	From worker 2:	-1.899720249606259 -1.0886528060470444 -1.5975735365183432 -0.36674026062376175 0.05266621488677359 0.7684467493367031
	From worker 2:	-1.9754229716762048 -1.1716235876373449 -2.8479210443286744 -1.2007252769264896 -0.28294810253976044 0.22041341088828825
	From worker 2:	-1.204601748412823 -2.884350345263498 2.170304444856452 0.0976171372502721 -0.733145200390017 0.359086505294095
