Run started at  Tue Jul 24 16:28:22 BST 2018
Start include.
Starting
Ready
	From worker 2:	Parameters set for ENSMUSG00000029177
	From worker 2:	starting ABC for ENSMUSG00000029177
	From worker 2:	Number of trials = 1
	From worker 2:	Number accepted = 0
	From worker 2:	Number of trials = 1001
	From worker 2:	Number accepted = 54
	From worker 2:	Number of trials = 2001
	From worker 2:	Number accepted = 107
	From worker 2:	Number of trials = 3001
	From worker 2:	Number accepted = 160
	From worker 2:	Number of trials = 4001
	From worker 2:	Number accepted = 210
	From worker 2:	Number of trials = 5001
	From worker 2:	Number accepted = 262
	From worker 2:	Number of trials = 6001
	From worker 2:	Number accepted = 305
	From worker 2:	Number of trials = 7001
	From worker 2:	Number accepted = 354
	From worker 2:	Number of trials = 8001
	From worker 2:	Number accepted = 405
	From worker 2:	Number of trials = 9001
	From worker 2:	Number accepted = 453
	From worker 2:	Number of trials = 10001
	From worker 2:	Number accepted = 498
	From worker 2:	Number of trials = 11001
	From worker 2:	Number accepted = 544
	From worker 2:	4
	From worker 2:	600
	From worker 2:	11995
	From worker 2:	0.4
	From worker 2:	-3.429129628089479 -3.66954317299967 -0.6661819456522 56.3784560405599
	From worker 2:	-4.490309173926404 -2.222656772331699 -4.009872290425564 23.930486401757456
	From worker 2:	-1.1220705462534193 -1.948145633001209 -0.7250301806481394 42.83855184402331
	From worker 2:	-3.123068842273234 -2.7014786918225897 -1.037717524306867 36.260892680407686
	From worker 2:	-5.772998131296607 -2.9794845998051835 -4.45339212722049 10.339745690941946
	From worker 2:	-3.4634150483301362 -2.269714783849788 -2.7621325566369985 33.65087320870817
	From worker 2:	-4.695632455128468 -4.63199976187042 -0.57143772120161 57.80782827750237
	From worker 2:	-3.140882066206772 -0.36181483073977283 -3.4036528468765384 39.323157494508365
	From worker 2:	-0.5603934594743727 -2.3318757868848587 -0.6762204542466765 69.64532998941223
	From worker 2:	-3.1268638858954025 -4.441355285183436 -1.3194822341430443 12.267802842404674
	From worker 2:	-4.95169673980411 -5.406336105134839 -0.961688205323469 46.291717236601215
	From worker 2:	-3.653426000271348 -5.786250540997937 -0.7189667717564063 57.48424263384956
	From worker 2:	-4.038251840089593 -1.8723123454358026 -3.3990317197008806 21.682802990797914
	From worker 2:	-2.54828113986414 -2.443184219115024 -0.6993848309846218 53.745683377801754
	From worker 2:	-1.707326858685322 -0.11369786557997674 -2.5020270007596457 45.46179786682005
	From worker 2:	-0.05826899568097765 -4.3713871364550165 -0.6881852049017283 52.741033983033944
	From worker 2:	-2.0378340303183267 -1.3631764642893787 -1.8010769792793857 25.55009473500137
	From worker 2:	-1.8474977520203044 -4.867069926256573 -0.3704316108034087 72.71275221124424
	From worker 2:	-0.46148905097347814 -1.5811470725268508 -0.48675118220577573 55.86675457037762
	From worker 2:	-3.1742506603710137 -4.894759095875312 -0.6061495904705012 47.84779050682543
	From worker 2:	-1.1038813520453425 -2.8668728887846333 -0.37384413049887577 64.4365965689782
	From worker 2:	-1.2246362309032612 -1.1554617886288305 -0.9544604207221941 78.19230237932405
	From worker 2:	-2.5891215189387036 -2.172088823150097 -1.4808340388451606 55.583951264915754
	From worker 2:	-3.576260759451805 -3.6411064713348527 -1.0818108152111883 66.67212908758083
	From worker 2:	-5.129439073762896 -5.066933729003174 -0.8932145542251089 77.16942610857656
	From worker 2:	-3.6449246001884665 -5.816025436704315 -0.5700849932564065 51.18126197965816
	From worker 2:	-1.0468797192607777 -2.1956008820817843 -0.63738140807326 62.79251486031541
	From worker 2:	-1.8364193194562315 -5.103058062286476 -0.7432881856873603 39.53958743369611
	From worker 2:	-2.164911955480706 -3.7210218618897537 -0.7481770481245373 39.34624949690465
	From worker 2:	-0.1532907076207497 -0.7205130225820024 -1.412191176606946 11.706503173223908
	From worker 2:	-5.161244130287049 -4.565044511057602 -3.6148421969384983 44.77182989053112
	From worker 2:	-3.605375912320405 -1.2390374555625696 -3.352565938565656 44.32910442232213
	From worker 2:	-1.807269749965526 -0.7373073431319073 -1.5812977602712293 78.28038519922796
	From worker 2:	-2.7056839251626292 -2.9656782139525357 -0.9573226844904283 44.88309870604603
	From worker 2:	-1.6004008593931376 -0.012043703601642974 -2.751322841433843 24.11271146677116
	From worker 2:	-0.6036108197380141 -4.013819566909822 -0.649671765680897 67.67218886700653
	From worker 2:	-2.4446398223648322 -0.910413033474093 -2.4936008436450243 36.28531214172506
	From worker 2:	-5.443687534704095 -2.3837132371107 -4.127601414567853 79.7127773438053
	From worker 2:	-2.3283013086683404 -0.6941854136591239 -2.4288481623359117 36.12722569953281
	From worker 2:	-0.9159022948184656 -2.756604410264808 -1.3488780330149002 11.059424657647163
	From worker 2:	-0.4456291844992357 -4.1266001265119225 -0.7332313889552431 51.20491894921935
	From worker 2:	-5.504848432632677 -2.75342309154906 -4.007483455942063 12.162871403414641
	From worker 2:	-1.7627449683964898 -2.89930196431567 -0.5090708967811777 61.94577997835552
