Run started at  Tue Jul 10 14:34:13 BST 2018
Start include.
Starting
Ready
	From worker 2:	Parameters set for ENSMUSG00000006398
	From worker 2:	starting ABC for ENSMUSG00000006398
	From worker 3:	Parameters set for ENSMUSG00000027715
	From worker 3:	starting ABC for ENSMUSG00000027715
	From worker 2:	Number of trials = 1
	From worker 2:	Number accepted = 1
	From worker 3:	Number of trials = 1
	From worker 3:	Number accepted = 1
	From worker 3:	4
	From worker 3:	1000
	From worker 3:	1000
	From worker 3:	5.0
	From worker 3:	2.9371836044646136 2.5530749668908497 0.08071579658440342 3.0440330588489948
	From worker 3:	2.433323103245021 -2.289941984872123 -0.9082134548542524 2.804787198951224
	From worker 3:	2.4128417320700954 1.1367828722844955 -1.8253736890942274 2.843019079910445
	From worker 3:	0.5661768395965812 -0.6826835884904141 -2.488066282739901 0.380510746552416
	From worker 3:	-1.6028051384655004 -2.6943229697241864 -1.5506157684458706 4.447568560967427
	From worker 3:	-2.1043253509652105 -1.4544392027057547 -2.11873350194132 4.080104850552834
	From worker 3:	2.9437532449727124 -2.2960089499043272 -1.8307323993219615 2.9949968193012366
	From worker 3:	-1.0871783498030982 -2.668371271380933 -1.3088273752118194 4.242461814298758
	From worker 3:	-0.34885191522555736 -2.710658596743271 -1.808111211242624 0.813600907702543
	From worker 3:	-1.1812595613529515 -1.0305866646978719 -1.5081604359527279 2.7605323985905605
	From worker 3:	0.2894278226797615 -2.240391198223484 -1.1585781746567725 4.465896034506761
	From worker 3:	-0.8038526084604154 0.43381950529189384 -0.6932225905670357 3.6062297227908457
	From worker 3:	-1.6239375519299073 -0.035789786099591936 -0.11510281326863048 4.203256489783397
	From worker 3:	-0.6320790264234208 2.2981196103656867 -2.5172880382386573 1.7220931510356552
	From worker 3:	0.9286090830029927 -0.05969206714899933 -2.950533155170992 0.19288494696660607
	From worker 3:	-0.7425833534656632 2.3327098186394997 -1.14241172529771 3.249224376094886
	From worker 3:	2.777769237075793 0.7562321672906505 -2.3844596397948945 4.842128247227256
	From worker 3:	-0.6942770317984994 -2.5071188832801625 -0.9175626030434123 4.039366763584126
	From worker 3:	-1.1267037295341846 -0.9262348336425643 -2.8453523812567023 4.3429936336275
	From worker 3:	-1.7021593710268066 1.5350358973108555 0.29755055052263923 1.82389002532503
	From worker 3:	-1.4210084205485578 1.0274656576492411 -0.5091348196216083 2.0046971074284112
	From worker 3:	1.4456167698065627 2.8183179681505415 -2.0370587528785418 0.215426380929431
	From worker 3:	-1.5828925760669712 -1.6670081961334176 -0.8732941235509988 2.941750109850795
	From worker 3:	1.3512901646553344 -2.5183183033012377 -1.0586963037664172 1.338619723498925
	From worker 3:	-0.17286616493713147 -2.796287304665465 0.3343194869149828 3.782160512584707
	From worker 3:	0.7720878191892835 1.9387708459873085 -1.6457267973523235 3.8617902742877455
	From worker 3:	-0.10897951936125505 -2.9824596775183596 -0.5547410900890726 4.1880735885721005
	From worker 3:	-2.150123893631176 -1.5389505653340856 -0.06698656971335648 2.5131769794888448
	From worker 3:	2.283546332666515 2.443180334566521 -1.37797386858599 1.0691195981975032
	From worker 3:	-0.5273729389823312 -1.0090359183406585 -2.6522100726926627 4.483925683153323
	From worker 3:	2.402989394962086 -2.9134330287836017 -1.038252356431427 1.4660805242573616
	From worker 3:	2.6838912277625644 2.264746151300584 -1.4009991654333025 4.299602182713683
	From worker 3:	0.0929578849827708 -0.49040770609674933 -1.9928301006703286 2.7048783834306365
	From worker 3:	1.5946270105844746 0.9521086390227289 -1.945666000399222 1.4714656474170118
	From worker 3:	-1.924595692329345 0.5746974433026035 -2.6197064208950507 3.225352439514629
	From worker 3:	-2.274249138406051 -2.4894558649595333 -0.4193869802177064 2.01854965208915
	From worker 3:	2.2817414907691376 0.5249470208746647 -2.32377812368139 0.5285338973631803
	From worker 3:	-1.4437326302300941 -2.1428486469708568 -0.9365666735288918 4.447439133383405
	From worker 3:	-2.9083180468223913 0.5705263197942525 -1.50594144420943 3.8807319430904297
